Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2012,12,Belgian Grand Prix,1,1,BUT,Jenson,Button,British,25,Finished,1:29:08.530,McLaren
2012,12,Belgian Grand Prix,10,2,VET,Sebastian,Vettel,German,18,Finished,+13.624,Red Bull
2012,12,Belgian Grand Prix,3,3,RAI,Kimi,Räikkönen,Finnish,15,Finished,+25.334,Lotus F1
2012,12,Belgian Grand Prix,11,4,HUL,Nico,Hülkenberg,German,12,Finished,+27.843,Force India
2012,12,Belgian Grand Prix,14,5,MAS,Felipe,Massa,Brazilian,10,Finished,+29.845,Ferrari
2012,12,Belgian Grand Prix,12,6,WEB,Mark,Webber,Australian,8,Finished,+31.244,Red Bull
2012,12,Belgian Grand Prix,13,7,MSC,Michael,Schumacher,German,6,Finished,+53.374,Mercedes
2012,12,Belgian Grand Prix,15,8,VER,Jean-Éric,Vergne,French,4,Finished,+58.865,Toro Rosso
2012,12,Belgian Grand Prix,16,9,RIC,Daniel,Ricciardo,Australian,2,Finished,+62.982,Toro Rosso
2012,12,Belgian Grand Prix,9,10,DIR,Paul,di Resta,British,1,Finished,+63.783,Force India
2012,12,Belgian Grand Prix,23,11,ROS,Nico,Rosberg,German,0,Finished,+65.111,Mercedes
2012,12,Belgian Grand Prix,17,12,SEN,Bruno,Senna,Brazilian,0,Finished,+71.529,Williams
2012,12,Belgian Grand Prix,2,13,KOB,Kamui,Kobayashi,Japanese,0,Finished,+116.119,Sauber
2012,12,Belgian Grand Prix,19,14,PET,Vitaly,Petrov,Russian,0,+1 Lap,,Caterham
2012,12,Belgian Grand Prix,20,15,GLO,Timo,Glock,German,0,+1 Lap,,Marussia
2012,12,Belgian Grand Prix,22,16,PIC,Charles,Pic,French,0,+1 Lap,,Marussia
2012,12,Belgian Grand Prix,18,17,KOV,Heikki,Kovalainen,Finnish,0,+1 Lap,,Caterham
2012,12,Belgian Grand Prix,21,18,DLR,Pedro,de la Rosa,Spanish,0,+1 Lap,,HRT
2012,12,Belgian Grand Prix,24,19,KAR,Narain,Karthikeyan,Indian,0,Spun off,,HRT
2012,12,Belgian Grand Prix,6,20,MAL,Pastor,Maldonado,Venezuelan,0,Collision,,Williams
2012,12,Belgian Grand Prix,4,21,PER,Sergio,Pérez,Mexican,0,Collision,,Sauber
2012,12,Belgian Grand Prix,5,22,ALO,Fernando,Alonso,Spanish,0,Collision,,Ferrari
2012,12,Belgian Grand Prix,7,23,HAM,Lewis,Hamilton,British,0,Collision,,McLaren
2012,12,Belgian Grand Prix,8,24,GRO,Romain,Grosjean,French,0,Collision,,Lotus F1
