Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2008,16,Japanese Grand Prix,4,1,ALO,Fernando,Alonso,Spanish,10,Finished,1:30:21.892,Renault
2008,16,Japanese Grand Prix,6,2,KUB,Robert,Kubica,Polish,8,Finished,+5.283,BMW Sauber
2008,16,Japanese Grand Prix,2,3,RAI,Kimi,Räikkönen,Finnish,6,Finished,+6.400,Ferrari
2008,16,Japanese Grand Prix,12,4,PIQ,Nelson,Piquet Jr.,Brazilian,5,Finished,+20.570,Renault
2008,16,Japanese Grand Prix,7,5,TRU,Jarno,Trulli,Italian,4,Finished,+23.767,Toyota
2008,16,Japanese Grand Prix,9,6,VET,Sebastian,Vettel,German,3,Finished,+39.207,Toro Rosso
2008,16,Japanese Grand Prix,5,7,MAS,Felipe,Massa,Brazilian,2,Finished,+46.158,Ferrari
2008,16,Japanese Grand Prix,13,8,WEB,Mark,Webber,Australian,1,Finished,+50.811,Red Bull
2008,16,Japanese Grand Prix,16,9,HEI,Nick,Heidfeld,German,0,Finished,+54.120,BMW Sauber
2008,16,Japanese Grand Prix,10,10,BOU,Sébastien,Bourdais,French,0,Finished,+59.085,Toro Rosso
2008,16,Japanese Grand Prix,15,11,ROS,Nico,Rosberg,German,0,Finished,+1:02.096,Williams
2008,16,Japanese Grand Prix,1,12,HAM,Lewis,Hamilton,British,0,Finished,+1:18.900,McLaren
2008,16,Japanese Grand Prix,17,13,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Honda
2008,16,Japanese Grand Prix,18,14,BUT,Jenson,Button,British,0,+1 Lap,,Honda
2008,16,Japanese Grand Prix,14,15,NAK,Kazuki,Nakajima,Japanese,0,+1 Lap,,Williams
2008,16,Japanese Grand Prix,20,16,FIS,Giancarlo,Fisichella,Italian,0,Gearbox,,Force India
2008,16,Japanese Grand Prix,3,17,KOV,Heikki,Kovalainen,Finnish,0,Engine,,McLaren
2008,16,Japanese Grand Prix,19,18,SUT,Adrian,Sutil,German,0,Tyre,,Force India
2008,16,Japanese Grand Prix,8,19,GLO,Timo,Glock,German,0,Driver Seat,,Toyota
2008,16,Japanese Grand Prix,11,20,COU,David,Coulthard,British,0,Collision,,Red Bull
