Season,Round,Constructor-Position,Constrcutor,Nation,Points,Wins
2013,15,1,Red Bull,Austrian,445,9
2013,15,2,Ferrari,Italian,297,2
2013,15,3,Mercedes,German,287,3
2013,15,4,Lotus F1,British,264,1
2013,15,5,McLaren,British,83,0
2013,15,6,Force India,Indian,62,0
2013,15,7,Sauber,Swiss,45,0
2013,15,8,Toro Rosso,Italian,31,0
2013,15,9,Williams,British,1,0
2013,15,10,Marussia,Russian,0,0
2013,15,11,Caterham,Malaysian,0,0
2013,12,1,Red Bull,Austrian,352,6
2013,12,2,Ferrari,Italian,248,2
2013,12,3,Mercedes,German,245,3
2013,12,4,Lotus F1,British,191,1
2013,12,5,McLaren,British,66,0
2013,12,6,Force India,Indian,61,0
2013,12,7,Toro Rosso,Italian,31,0
2013,12,8,Sauber,Swiss,17,0
2013,12,9,Williams,British,1,0
2013,12,10,Marussia,Russian,0,0
2013,12,11,Caterham,Malaysian,0,0
2013,13,1,Red Bull,Austrian,377,7
2013,13,2,Ferrari,Italian,274,2
2013,13,3,Mercedes,German,267,3
2013,13,4,Lotus F1,British,206,1
2013,13,5,McLaren,British,76,0
2013,13,6,Force India,Indian,62,0
2013,13,7,Toro Rosso,Italian,31,0
2013,13,8,Sauber,Swiss,19,0
2013,13,9,Williams,British,1,0
2013,13,10,Marussia,Russian,0,0
2013,13,11,Caterham,Malaysian,0,0
2013,14,1,Red Bull,Austrian,402,8
2013,14,2,Ferrari,Italian,284,2
2013,14,3,Mercedes,German,283,3
2013,14,4,Lotus F1,British,239,1
2013,14,5,McLaren,British,81,0
2013,14,6,Force India,Indian,62,0
2013,14,7,Sauber,Swiss,31,0
2013,14,8,Toro Rosso,Italian,31,0
2013,14,9,Williams,British,1,0
2013,14,10,Marussia,Russian,0,0
2013,14,11,Caterham,Malaysian,0,0
2013,8,1,Red Bull,Austrian,219,3
2013,8,2,Mercedes,German,171,2
2013,8,3,Ferrari,Italian,168,2
2013,8,4,Lotus F1,British,124,1
2013,8,5,Force India,Indian,59,0
2013,8,6,McLaren,British,37,0
2013,8,7,Toro Rosso,Italian,24,0
2013,8,8,Sauber,Swiss,6,0
2013,8,9,Williams,British,0,0
2013,8,10,Marussia,Russian,0,0
2013,8,11,Caterham,Malaysian,0,0
2013,6,1,Red Bull,Austrian,164,2
2013,6,2,Ferrari,Italian,123,2
2013,6,3,Lotus F1,British,112,1
2013,6,4,Mercedes,German,109,1
2013,6,5,Force India,Indian,44,0
2013,6,6,McLaren,British,37,0
2013,6,7,Toro Rosso,Italian,12,0
2013,6,8,Sauber,Swiss,5,0
2013,6,9,Williams,British,0,0
2013,6,10,Marussia,Russian,0,0
2013,6,11,Caterham,Malaysian,0,0
2013,1,1,Ferrari,Italian,30,0
2013,1,2,Lotus F1,British,26,1
2013,1,3,Red Bull,Austrian,23,0
2013,1,4,Mercedes,German,10,0
2013,1,5,Force India,Indian,10,0
2013,1,6,McLaren,British,2,0
2013,1,7,Toro Rosso,Italian,0,0
2013,1,8,Sauber,Swiss,0,0
2013,1,9,Williams,British,0,0
2013,1,10,Marussia,Russian,0,0
2013,1,11,Caterham,Malaysian,0,0
2013,7,1,Red Bull,Austrian,201,3
2013,7,2,Ferrari,Italian,145,2
2013,7,3,Mercedes,German,134,1
2013,7,4,Lotus F1,British,114,1
2013,7,5,Force India,Indian,51,0
2013,7,6,McLaren,British,37,0
2013,7,7,Toro Rosso,Italian,20,0
2013,7,8,Sauber,Swiss,5,0
2013,7,9,Williams,British,0,0
2013,7,10,Marussia,Russian,0,0
2013,7,11,Caterham,Malaysian,0,0
2013,9,1,Red Bull,Austrian,250,4
2013,9,2,Mercedes,German,183,2
2013,9,3,Ferrari,Italian,180,2
2013,9,4,Lotus F1,British,157,1
2013,9,5,Force India,Indian,59,0
2013,9,6,McLaren,British,49,0
2013,9,7,Toro Rosso,Italian,24,0
2013,9,8,Sauber,Swiss,7,0
2013,9,9,Williams,British,0,0
2013,9,10,Marussia,Russian,0,0
2013,9,11,Caterham,Malaysian,0,0
2013,18,1,Red Bull,Austrian,553,12
2013,18,2,Mercedes,German,348,3
2013,18,3,Ferrari,Italian,333,2
2013,18,4,Lotus F1,British,315,1
2013,18,5,McLaren,British,102,0
2013,18,6,Force India,Indian,77,0
2013,18,7,Sauber,Swiss,53,0
2013,18,8,Toro Rosso,Italian,32,0
2013,18,9,Williams,British,5,0
2013,18,10,Marussia,Russian,0,0
2013,18,11,Caterham,Malaysian,0,0
2013,11,1,Red Bull,Austrian,312,5
2013,11,2,Mercedes,German,235,3
2013,11,3,Ferrari,Italian,218,2
2013,11,4,Lotus F1,British,187,1
2013,11,5,McLaren,British,65,0
2013,11,6,Force India,Indian,61,0
2013,11,7,Toro Rosso,Italian,25,0
2013,11,8,Sauber,Swiss,7,0
2013,11,9,Williams,British,1,0
2013,11,10,Marussia,Russian,0,0
2013,11,11,Caterham,Malaysian,0,0
2013,16,1,Red Bull,Austrian,470,10
2013,16,2,Mercedes,German,313,3
2013,16,3,Ferrari,Italian,309,2
2013,16,4,Lotus F1,British,285,1
2013,16,5,McLaren,British,93,0
2013,16,6,Force India,Indian,68,0
2013,16,7,Sauber,Swiss,45,0
2013,16,8,Toro Rosso,Italian,32,0
2013,16,9,Williams,British,1,0
2013,16,10,Marussia,Russian,0,0
2013,16,11,Caterham,Malaysian,0,0
2013,17,1,Red Bull,Austrian,513,11
2013,17,2,Mercedes,German,334,3
2013,17,3,Ferrari,Italian,323,2
2013,17,4,Lotus F1,British,297,1
2013,17,5,McLaren,British,95,0
2013,17,6,Force India,Indian,77,0
2013,17,7,Sauber,Swiss,45,0
2013,17,8,Toro Rosso,Italian,32,0
2013,17,9,Williams,British,1,0
2013,17,10,Marussia,Russian,0,0
2013,17,11,Caterham,Malaysian,0,0
2013,10,1,Red Bull,Austrian,277,4
2013,10,2,Mercedes,German,208,3
2013,10,3,Ferrari,Italian,194,2
2013,10,4,Lotus F1,British,183,1
2013,10,5,Force India,Indian,59,0
2013,10,6,McLaren,British,57,0
2013,10,7,Toro Rosso,Italian,24,0
2013,10,8,Sauber,Swiss,7,0
2013,10,9,Williams,British,1,0
2013,10,10,Marussia,Russian,0,0
2013,10,11,Caterham,Malaysian,0,0
2013,19,1,Red Bull,Austrian,596,13
2013,19,2,Mercedes,German,360,3
2013,19,3,Ferrari,Italian,354,2
2013,19,4,Lotus F1,British,315,1
2013,19,5,McLaren,British,122,0
2013,19,6,Force India,Indian,77,0
2013,19,7,Sauber,Swiss,57,0
2013,19,8,Toro Rosso,Italian,33,0
2013,19,9,Williams,British,5,0
2013,19,10,Marussia,Russian,0,0
2013,19,11,Caterham,Malaysian,0,0
2013,2,1,Red Bull,Austrian,66,1
2013,2,2,Lotus F1,British,40,1
2013,2,3,Ferrari,Italian,40,0
2013,2,4,Mercedes,German,37,0
2013,2,5,Force India,Indian,10,0
2013,2,6,Sauber,Swiss,4,0
2013,2,7,McLaren,British,4,0
2013,2,8,Toro Rosso,Italian,1,0
2013,2,9,Williams,British,0,0
2013,2,10,Marussia,Russian,0,0
2013,2,11,Caterham,Malaysian,0,0
2013,5,1,Red Bull,Austrian,131,2
2013,5,2,Ferrari,Italian,117,2
2013,5,3,Lotus F1,British,111,1
2013,5,4,Mercedes,German,72,0
2013,5,5,Force India,Indian,32,0
2013,5,6,McLaren,British,29,0
2013,5,7,Toro Rosso,Italian,8,0
2013,5,8,Sauber,Swiss,5,0
2013,5,9,Williams,British,0,0
2013,5,10,Marussia,Russian,0,0
2013,5,11,Caterham,Malaysian,0,0
2013,4,1,Red Bull,Austrian,109,2
2013,4,2,Lotus F1,British,93,1
2013,4,3,Ferrari,Italian,77,1
2013,4,4,Mercedes,German,64,0
2013,4,5,Force India,Indian,26,0
2013,4,6,McLaren,British,23,0
2013,4,7,Toro Rosso,Italian,7,0
