Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2017,15,Malaysian Grand Prix,3,1,VER,Max,Verstappen,Dutch,25,Finished,1:30:01.290,Red Bull
2017,15,Malaysian Grand Prix,1,2,HAM,Lewis,Hamilton,British,18,Finished,+12.770,Mercedes
2017,15,Malaysian Grand Prix,4,3,RIC,Daniel,Ricciardo,Australian,15,Finished,+22.519,Red Bull
2017,15,Malaysian Grand Prix,20,4,VET,Sebastian,Vettel,German,12,Finished,+37.362,Ferrari
2017,15,Malaysian Grand Prix,5,5,BOT,Valtteri,Bottas,Finnish,10,Finished,+56.021,Mercedes
2017,15,Malaysian Grand Prix,9,6,PER,Sergio,Pérez,Mexican,8,Finished,+1:18.630,Force India
2017,15,Malaysian Grand Prix,7,7,VAN,Stoffel,Vandoorne,Belgian,6,+1 Lap,,McLaren
2017,15,Malaysian Grand Prix,13,8,STR,Lance,Stroll,Canadian,4,+1 Lap,,Williams
2017,15,Malaysian Grand Prix,11,9,MAS,Felipe,Massa,Brazilian,2,+1 Lap,,Williams
2017,15,Malaysian Grand Prix,6,10,OCO,Esteban,Ocon,French,1,+1 Lap,,Force India
2017,15,Malaysian Grand Prix,10,11,ALO,Fernando,Alonso,Spanish,0,+1 Lap,,McLaren
2017,15,Malaysian Grand Prix,17,12,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Haas F1 Team
2017,15,Malaysian Grand Prix,16,13,GRO,Romain,Grosjean,French,0,+1 Lap,,Haas F1 Team
2017,15,Malaysian Grand Prix,15,14,GAS,Pierre,Gasly,French,0,+1 Lap,,Toro Rosso
2017,15,Malaysian Grand Prix,12,15,PAL,Jolyon,Palmer,British,0,+1 Lap,,Renault
2017,15,Malaysian Grand Prix,8,16,HUL,Nico,Hülkenberg,German,0,+1 Lap,,Renault
2017,15,Malaysian Grand Prix,18,17,WEH,Pascal,Wehrlein,German,0,+1 Lap,,Sauber
2017,15,Malaysian Grand Prix,19,18,ERI,Marcus,Ericsson,Swedish,0,+2 Laps,,Sauber
2017,15,Malaysian Grand Prix,14,19,SAI,Carlos,Sainz,Spanish,0,Engine,,Toro Rosso
2017,15,Malaysian Grand Prix,0,20,RAI,Kimi,Räikkönen,Finnish,0,Battery,,Ferrari
