Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2011,6,Monaco Grand Prix,1,1,VET,Sebastian,Vettel,German,25,Finished,2:09:38.373,Red Bull
2011,6,Monaco Grand Prix,4,2,ALO,Fernando,Alonso,Spanish,18,Finished,+1.138,Ferrari
2011,6,Monaco Grand Prix,2,3,BUT,Jenson,Button,British,15,Finished,+2.378,McLaren
2011,6,Monaco Grand Prix,3,4,WEB,Mark,Webber,Australian,12,Finished,+23.101,Red Bull
2011,6,Monaco Grand Prix,12,5,KOB,Kamui,Kobayashi,Japanese,10,Finished,+26.916,Sauber
2011,6,Monaco Grand Prix,9,6,HAM,Lewis,Hamilton,British,8,Finished,+27.210,McLaren
2011,6,Monaco Grand Prix,14,7,SUT,Adrian,Sutil,German,6,+1 Lap,,Force India
2011,6,Monaco Grand Prix,15,8,HEI,Nick,Heidfeld,German,4,+1 Lap,,Renault
2011,6,Monaco Grand Prix,11,9,BAR,Rubens,Barrichello,Brazilian,2,+1 Lap,,Williams
2011,6,Monaco Grand Prix,16,10,BUE,Sébastien,Buemi,Swiss,1,+1 Lap,,Toro Rosso
2011,6,Monaco Grand Prix,7,11,ROS,Nico,Rosberg,German,0,+2 Laps,,Mercedes
2011,6,Monaco Grand Prix,13,12,DIR,Paul,di Resta,British,0,+2 Laps,,Force India
2011,6,Monaco Grand Prix,18,13,TRU,Jarno,Trulli,Italian,0,+2 Laps,,Lotus
2011,6,Monaco Grand Prix,17,14,KOV,Heikki,Kovalainen,Finnish,0,+2 Laps,,Lotus
2011,6,Monaco Grand Prix,21,15,DAM,Jérôme,d'Ambrosio,Belgian,0,+3 Laps,,Virgin
2011,6,Monaco Grand Prix,23,16,LIU,Vitantonio,Liuzzi,Italian,0,+3 Laps,,HRT
2011,6,Monaco Grand Prix,22,17,KAR,Narain,Karthikeyan,Indian,0,+4 Laps,,HRT
2011,6,Monaco Grand Prix,8,18,MAL,Pastor,Maldonado,Venezuelan,0,Accident,,Williams
2011,6,Monaco Grand Prix,10,19,PET,Vitaly,Petrov,Russian,0,Collision,,Renault
2011,6,Monaco Grand Prix,19,20,ALG,Jaime,Alguersuari,Spanish,0,Collision,,Toro Rosso
2011,6,Monaco Grand Prix,6,21,MAS,Felipe,Massa,Brazilian,0,Accident,,Ferrari
2011,6,Monaco Grand Prix,5,22,MSC,Michael,Schumacher,German,0,Engine,,Mercedes
2011,6,Monaco Grand Prix,20,23,GLO,Timo,Glock,German,0,Suspension,,Virgin
2011,6,Monaco Grand Prix,0,24,PER,Sergio,Pérez,Mexican,0,Injury,,Sauber
