Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2008,5,Turkish Grand Prix,1,1,MAS,Felipe,Massa,Brazilian,10,Finished,1:26:49.451,Ferrari
2008,5,Turkish Grand Prix,3,2,HAM,Lewis,Hamilton,British,8,Finished,+3.779,McLaren
2008,5,Turkish Grand Prix,4,3,RAI,Kimi,Räikkönen,Finnish,6,Finished,+4.271,Ferrari
2008,5,Turkish Grand Prix,5,4,KUB,Robert,Kubica,Polish,5,Finished,+21.945,BMW Sauber
2008,5,Turkish Grand Prix,9,5,HEI,Nick,Heidfeld,German,4,Finished,+38.741,BMW Sauber
2008,5,Turkish Grand Prix,7,6,ALO,Fernando,Alonso,Spanish,3,Finished,+53.724,Renault
2008,5,Turkish Grand Prix,6,7,WEB,Mark,Webber,Australian,2,Finished,+1:04.229,Red Bull
2008,5,Turkish Grand Prix,11,8,ROS,Nico,Rosberg,German,1,Finished,+1:11.406,Williams
2008,5,Turkish Grand Prix,10,9,COU,David,Coulthard,British,0,Finished,+1:15.270,Red Bull
2008,5,Turkish Grand Prix,8,10,TRU,Jarno,Trulli,Italian,0,Finished,+1:16.344,Toyota
2008,5,Turkish Grand Prix,13,11,BUT,Jenson,Button,British,0,+1 Lap,,Honda
2008,5,Turkish Grand Prix,2,12,KOV,Heikki,Kovalainen,Finnish,0,+1 Lap,,McLaren
2008,5,Turkish Grand Prix,15,13,GLO,Timo,Glock,German,0,+1 Lap,,Toyota
2008,5,Turkish Grand Prix,12,14,BAR,Rubens,Barrichello,Brazilian,0,+1 Lap,,Honda
2008,5,Turkish Grand Prix,17,15,PIQ,Nelson,Piquet Jr.,Brazilian,0,+1 Lap,,Renault
2008,5,Turkish Grand Prix,19,16,SUT,Adrian,Sutil,German,0,+1 Lap,,Force India
2008,5,Turkish Grand Prix,14,17,VET,Sebastian,Vettel,German,0,+1 Lap,,Toro Rosso
2008,5,Turkish Grand Prix,18,18,BOU,Sébastien,Bourdais,French,0,Suspension,,Toro Rosso
2008,5,Turkish Grand Prix,16,19,NAK,Kazuki,Nakajima,Japanese,0,Collision,,Williams
2008,5,Turkish Grand Prix,20,20,FIS,Giancarlo,Fisichella,Italian,0,Collision,,Force India
