Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2018,21,Abu Dhabi Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:39:40.382,Mercedes
2018,21,Abu Dhabi Grand Prix,3,2,VET,Sebastian,Vettel,German,18,Finished,+2.581,Ferrari
2018,21,Abu Dhabi Grand Prix,6,3,VER,Max,Verstappen,Dutch,15,Finished,+12.706,Red Bull
2018,21,Abu Dhabi Grand Prix,5,4,RIC,Daniel,Ricciardo,Australian,12,Finished,+15.379,Red Bull
2018,21,Abu Dhabi Grand Prix,2,5,BOT,Valtteri,Bottas,Finnish,10,Finished,+47.957,Mercedes
2018,21,Abu Dhabi Grand Prix,11,6,SAI,Carlos,Sainz,Spanish,8,Finished,+1:12.548,Renault
2018,21,Abu Dhabi Grand Prix,8,7,LEC,Charles,Leclerc,Monegasque,6,Finished,+1:30.789,Sauber
2018,21,Abu Dhabi Grand Prix,14,8,PER,Sergio,Pérez,Mexican,4,Finished,+1:31.275,Force India
2018,21,Abu Dhabi Grand Prix,7,9,GRO,Romain,Grosjean,French,2,+1 Lap,,Haas F1 Team
2018,21,Abu Dhabi Grand Prix,13,10,MAG,Kevin,Magnussen,Danish,1,+1 Lap,,Haas F1 Team
2018,21,Abu Dhabi Grand Prix,15,11,ALO,Fernando,Alonso,Spanish,0,+1 Lap,,McLaren
2018,21,Abu Dhabi Grand Prix,16,12,HAR,Brendon,Hartley,New Zealander,0,+1 Lap,,Toro Rosso
2018,21,Abu Dhabi Grand Prix,20,13,STR,Lance,Stroll,Canadian,0,+1 Lap,,Williams
2018,21,Abu Dhabi Grand Prix,18,14,VAN,Stoffel,Vandoorne,Belgian,0,+1 Lap,,McLaren
2018,21,Abu Dhabi Grand Prix,19,15,SIR,Sergey,Sirotkin,Russian,0,+1 Lap,,Williams
2018,21,Abu Dhabi Grand Prix,17,16,GAS,Pierre,Gasly,French,0,Engine,,Toro Rosso
2018,21,Abu Dhabi Grand Prix,9,17,OCO,Esteban,Ocon,French,0,Engine,,Force India
2018,21,Abu Dhabi Grand Prix,12,18,ERI,Marcus,Ericsson,Swedish,0,Power loss,,Sauber
2018,21,Abu Dhabi Grand Prix,4,19,RAI,Kimi,Räikkönen,Finnish,0,Power loss,,Ferrari
2018,21,Abu Dhabi Grand Prix,10,20,HUL,Nico,Hülkenberg,German,0,Collision,,Renault
