Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2013,4,Bahrain Grand Prix,2,1,VET,Sebastian,Vettel,German,25,Finished,1:36:00.498,Red Bull
2013,4,Bahrain Grand Prix,8,2,RAI,Kimi,Räikkönen,Finnish,18,Finished,+9.111,Lotus F1
2013,4,Bahrain Grand Prix,11,3,GRO,Romain,Grosjean,French,15,Finished,+19.507,Lotus F1
2013,4,Bahrain Grand Prix,5,4,DIR,Paul,di Resta,British,12,Finished,+21.727,Force India
2013,4,Bahrain Grand Prix,9,5,HAM,Lewis,Hamilton,British,10,Finished,+35.230,Mercedes
2013,4,Bahrain Grand Prix,12,6,PER,Sergio,Pérez,Mexican,8,Finished,+35.998,McLaren
2013,4,Bahrain Grand Prix,7,7,WEB,Mark,Webber,Australian,6,Finished,+37.244,Red Bull
2013,4,Bahrain Grand Prix,3,8,ALO,Fernando,Alonso,Spanish,4,Finished,+37.574,Ferrari
2013,4,Bahrain Grand Prix,1,9,ROS,Nico,Rosberg,German,2,Finished,+41.126,Mercedes
2013,4,Bahrain Grand Prix,10,10,BUT,Jenson,Button,British,1,Finished,+46.631,McLaren
2013,4,Bahrain Grand Prix,17,11,MAL,Pastor,Maldonado,Venezuelan,0,Finished,+1:06.450,Williams
2013,4,Bahrain Grand Prix,14,12,HUL,Nico,Hülkenberg,German,0,Finished,+1:12.933,Sauber
2013,4,Bahrain Grand Prix,6,13,SUT,Adrian,Sutil,German,0,Finished,+1:16.719,Force India
2013,4,Bahrain Grand Prix,15,14,BOT,Valtteri,Bottas,Finnish,0,Finished,+1:21.511,Williams
2013,4,Bahrain Grand Prix,4,15,MAS,Felipe,Massa,Brazilian,0,Finished,+1:26.364,Ferrari
2013,4,Bahrain Grand Prix,13,16,RIC,Daniel,Ricciardo,Australian,0,+1 Lap,,Toro Rosso
2013,4,Bahrain Grand Prix,18,17,PIC,Charles,Pic,French,0,+1 Lap,,Caterham
2013,4,Bahrain Grand Prix,22,18,GUT,Esteban,Gutiérrez,Mexican,0,+1 Lap,,Sauber
2013,4,Bahrain Grand Prix,19,19,BIA,Jules,Bianchi,French,0,+1 Lap,,Marussia
2013,4,Bahrain Grand Prix,21,20,CHI,Max,Chilton,British,0,+1 Lap,,Marussia
2013,4,Bahrain Grand Prix,20,21,VDG,Giedo,van der Garde,Dutch,0,+2 Laps,,Caterham
2013,4,Bahrain Grand Prix,16,22,VER,Jean-Éric,Vergne,French,0,Puncture,,Toro Rosso
