Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2010,5,Spanish Grand Prix,1,1,WEB,Mark,Webber,Australian,25,Finished,1:35:44.101,Red Bull
2010,5,Spanish Grand Prix,4,2,ALO,Fernando,Alonso,Spanish,18,Finished,+24.065,Ferrari
2010,5,Spanish Grand Prix,2,3,VET,Sebastian,Vettel,German,15,Finished,+51.338,Red Bull
2010,5,Spanish Grand Prix,6,4,MSC,Michael,Schumacher,German,12,Finished,+1:02.195,Mercedes
2010,5,Spanish Grand Prix,5,5,BUT,Jenson,Button,British,10,Finished,+1:03.728,McLaren
2010,5,Spanish Grand Prix,9,6,MAS,Felipe,Massa,Brazilian,8,Finished,+1:05.767,Ferrari
2010,5,Spanish Grand Prix,11,7,SUT,Adrian,Sutil,German,6,Finished,+1:12.941,Force India
2010,5,Spanish Grand Prix,7,8,KUB,Robert,Kubica,Polish,4,Finished,+1:13.677,Renault
2010,5,Spanish Grand Prix,17,9,BAR,Rubens,Barrichello,Brazilian,2,+1 Lap,,Williams
2010,5,Spanish Grand Prix,15,10,ALG,Jaime,Alguersuari,Spanish,1,+1 Lap,,Toro Rosso
2010,5,Spanish Grand Prix,19,11,PET,Vitaly,Petrov,Russian,0,+1 Lap,,Renault
2010,5,Spanish Grand Prix,10,12,KOB,Kamui,Kobayashi,Japanese,0,+1 Lap,,Sauber
2010,5,Spanish Grand Prix,8,13,ROS,Nico,Rosberg,German,0,+1 Lap,,Mercedes
2010,5,Spanish Grand Prix,3,14,HAM,Lewis,Hamilton,British,0,Puncture,,McLaren
2010,5,Spanish Grand Prix,16,15,LIU,Vitantonio,Liuzzi,Italian,0,Engine,,Force India
2010,5,Spanish Grand Prix,13,16,HUL,Nico,Hülkenberg,German,0,+2 Laps,,Williams
2010,5,Spanish Grand Prix,18,17,TRU,Jarno,Trulli,Italian,0,+3 Laps,,Lotus
2010,5,Spanish Grand Prix,22,18,GLO,Timo,Glock,German,0,+3 Laps,,Virgin
2010,5,Spanish Grand Prix,23,19,DIG,Lucas,di Grassi,Brazilian,0,+4 Laps,,Virgin
2010,5,Spanish Grand Prix,14,20,BUE,Sébastien,Buemi,Swiss,0,Hydraulics,,Toro Rosso
2010,5,Spanish Grand Prix,24,21,CHA,Karun,Chandhok,Indian,0,Suspension,,HRT
2010,5,Spanish Grand Prix,12,22,DLR,Pedro,de la Rosa,Spanish,0,Collision,,Sauber
2010,5,Spanish Grand Prix,21,23,SEN,Bruno,Senna,Brazilian,0,Accident,,HRT
2010,5,Spanish Grand Prix,20,24,KOV,Heikki,Kovalainen,Finnish,0,Gearbox,,Lotus
