Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2005,8,Canadian Grand Prix,7,1,RAI,Kimi,Räikkönen,Finnish,10,Finished,1:32:09.290,McLaren
2005,8,Canadian Grand Prix,2,2,MSC,Michael,Schumacher,German,8,Finished,+1.1,Ferrari
2005,8,Canadian Grand Prix,20,3,BAR,Rubens,Barrichello,Brazilian,6,Finished,+40.4,Ferrari
2005,8,Canadian Grand Prix,11,4,MAS,Felipe,Massa,Brazilian,5,Finished,+55.1,Sauber
2005,8,Canadian Grand Prix,14,5,WEB,Mark,Webber,Australian,4,Finished,+55.7,Williams
2005,8,Canadian Grand Prix,10,6,SCH,Ralf,Schumacher,German,3,+1 Lap,,Toyota
2005,8,Canadian Grand Prix,12,7,COU,David,Coulthard,British,2,+1 Lap,,Red Bull
2005,8,Canadian Grand Prix,16,8,KLI,Christian,Klien,Austrian,1,+1 Lap,,Red Bull
2005,8,Canadian Grand Prix,8,9,VIL,Jacques,Villeneuve,Canadian,0,+1 Lap,,Sauber
2005,8,Canadian Grand Prix,18,10,TMO,Tiago,Monteiro,Portuguese,0,+3 Laps,,Jordan
2005,8,Canadian Grand Prix,15,11,ALB,Christijan,Albers,Dutch,0,+3 Laps,,Minardi
2005,8,Canadian Grand Prix,9,12,TRU,Jarno,Trulli,Italian,0,Brakes,,Toyota
2005,8,Canadian Grand Prix,1,13,BUT,Jenson,Button,British,0,Accident,,BAR
2005,8,Canadian Grand Prix,13,14,HEI,Nick,Heidfeld,German,0,Engine,,Williams
2005,8,Canadian Grand Prix,6,15,SAT,Takuma,Sato,Japanese,0,Brakes,,BAR
2005,8,Canadian Grand Prix,19,16,FRI,Patrick,Friesacher,Austrian,0,Hydraulics,,Minardi
2005,8,Canadian Grand Prix,3,17,ALO,Fernando,Alonso,Spanish,0,Suspension,,Renault
2005,8,Canadian Grand Prix,4,18,FIS,Giancarlo,Fisichella,Italian,0,Hydraulics,,Renault
2005,8,Canadian Grand Prix,17,19,KAR,Narain,Karthikeyan,Indian,0,Suspension,,Jordan
2005,8,Canadian Grand Prix,5,20,MON,Juan,Pablo Montoya,Colombian,0,Disqualified,,McLaren
