Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2017,18,Mexican Grand Prix,2,1,VER,Max,Verstappen,Dutch,25,Finished,1:36:26.552,Red Bull
2017,18,Mexican Grand Prix,4,2,BOT,Valtteri,Bottas,Finnish,18,Finished,+19.678,Mercedes
2017,18,Mexican Grand Prix,5,3,RAI,Kimi,Räikkönen,Finnish,15,Finished,+54.007,Ferrari
2017,18,Mexican Grand Prix,1,4,VET,Sebastian,Vettel,German,12,Finished,+1:10.078,Ferrari
2017,18,Mexican Grand Prix,6,5,OCO,Esteban,Ocon,French,10,+1 Lap,,Force India
2017,18,Mexican Grand Prix,11,6,STR,Lance,Stroll,Canadian,8,+1 Lap,,Williams
2017,18,Mexican Grand Prix,9,7,PER,Sergio,Pérez,Mexican,6,+1 Lap,,Force India
2017,18,Mexican Grand Prix,14,8,MAG,Kevin,Magnussen,Danish,4,+1 Lap,,Haas F1 Team
2017,18,Mexican Grand Prix,3,9,HAM,Lewis,Hamilton,British,2,+1 Lap,,Mercedes
2017,18,Mexican Grand Prix,18,10,ALO,Fernando,Alonso,Spanish,1,+1 Lap,,McLaren
2017,18,Mexican Grand Prix,10,11,MAS,Felipe,Massa,Brazilian,0,+1 Lap,,Williams
2017,18,Mexican Grand Prix,19,12,VAN,Stoffel,Vandoorne,Belgian,0,+1 Lap,,McLaren
2017,18,Mexican Grand Prix,20,13,GAS,Pierre,Gasly,French,0,+1 Lap,,Toro Rosso
2017,18,Mexican Grand Prix,13,14,WEH,Pascal,Wehrlein,German,0,+2 Laps,,Sauber
2017,18,Mexican Grand Prix,15,15,GRO,Romain,Grosjean,French,0,+2 Laps,,Haas F1 Team
2017,18,Mexican Grand Prix,8,16,SAI,Carlos,Sainz,Spanish,0,Engine,,Renault
2017,18,Mexican Grand Prix,12,17,ERI,Marcus,Ericsson,Swedish,0,Engine,,Sauber
2017,18,Mexican Grand Prix,17,18,HAR,Brendon,Hartley,New Zealander,0,Engine,,Toro Rosso
2017,18,Mexican Grand Prix,7,19,HUL,Nico,Hülkenberg,German,0,Electrical,,Renault
2017,18,Mexican Grand Prix,16,20,RIC,Daniel,Ricciardo,Australian,0,Engine,,Red Bull
