Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2007,11,Hungarian Grand Prix,1,1,HAM,Lewis,Hamilton,British,10,Finished,1:35:52.991,McLaren
2007,11,Hungarian Grand Prix,3,2,RAI,Kimi,Räikkönen,Finnish,8,Finished,+0.715,Ferrari
2007,11,Hungarian Grand Prix,2,3,HEI,Nick,Heidfeld,German,6,Finished,+43.129,BMW Sauber
2007,11,Hungarian Grand Prix,6,4,ALO,Fernando,Alonso,Spanish,5,Finished,+44.858,McLaren
2007,11,Hungarian Grand Prix,7,5,KUB,Robert,Kubica,Polish,4,Finished,+47.616,BMW Sauber
2007,11,Hungarian Grand Prix,5,6,SCH,Ralf,Schumacher,German,3,Finished,+50.669,Toyota
2007,11,Hungarian Grand Prix,4,7,ROS,Nico,Rosberg,German,2,Finished,+59.139,Williams
2007,11,Hungarian Grand Prix,11,8,KOV,Heikki,Kovalainen,Finnish,1,Finished,+1:08.104,Renault
2007,11,Hungarian Grand Prix,9,9,WEB,Mark,Webber,Australian,0,Finished,+1:16.331,Red Bull
2007,11,Hungarian Grand Prix,8,10,TRU,Jarno,Trulli,Italian,0,+1 Lap,,Toyota
2007,11,Hungarian Grand Prix,10,11,COU,David,Coulthard,British,0,+1 Lap,,Red Bull
2007,11,Hungarian Grand Prix,13,12,FIS,Giancarlo,Fisichella,Italian,0,+1 Lap,,Renault
2007,11,Hungarian Grand Prix,14,13,MAS,Felipe,Massa,Brazilian,0,+1 Lap,,Ferrari
2007,11,Hungarian Grand Prix,12,14,WUR,Alexander,Wurz,Austrian,0,+1 Lap,,Williams
2007,11,Hungarian Grand Prix,19,15,SAT,Takuma,Sato,Japanese,0,+1 Lap,,Super Aguri
2007,11,Hungarian Grand Prix,20,16,VET,Sebastian,Vettel,German,0,+1 Lap,,Toro Rosso
2007,11,Hungarian Grand Prix,21,17,SUT,Adrian,Sutil,German,0,+2 Laps,,Spyker
2007,11,Hungarian Grand Prix,18,18,BAR,Rubens,Barrichello,Brazilian,0,+2 Laps,,Honda
2007,11,Hungarian Grand Prix,16,19,LIU,Vitantonio,Liuzzi,Italian,0,Electrical,,Toro Rosso
2007,11,Hungarian Grand Prix,15,20,DAV,Anthony,Davidson,British,0,Accident,,Super Aguri
2007,11,Hungarian Grand Prix,17,21,BUT,Jenson,Button,British,0,Throttle,,Honda
2007,11,Hungarian Grand Prix,22,22,YAM,Sakon,Yamamoto,Japanese,0,Accident,,Spyker
