Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2005,17,Brazilian Grand Prix,2,1,MON,Juan,Pablo Montoya,Colombian,10,Finished,1:29:20.574,McLaren
2005,17,Brazilian Grand Prix,5,2,RAI,Kimi,Räikkönen,Finnish,8,Finished,+2.527,McLaren
2005,17,Brazilian Grand Prix,1,3,ALO,Fernando,Alonso,Spanish,6,Finished,+24.840,Renault
2005,17,Brazilian Grand Prix,7,4,MSC,Michael,Schumacher,German,5,Finished,+35.668,Ferrari
2005,17,Brazilian Grand Prix,3,5,FIS,Giancarlo,Fisichella,Italian,4,Finished,+40.218,Renault
2005,17,Brazilian Grand Prix,9,6,BAR,Rubens,Barrichello,Brazilian,3,Finished,+1:09.173,Ferrari
2005,17,Brazilian Grand Prix,4,7,BUT,Jenson,Button,British,2,+1 Lap,,BAR
2005,17,Brazilian Grand Prix,10,8,SCH,Ralf,Schumacher,German,1,+1 Lap,,Toyota
2005,17,Brazilian Grand Prix,6,9,KLI,Christian,Klien,Austrian,0,+1 Lap,,Red Bull
2005,17,Brazilian Grand Prix,19,10,SAT,Takuma,Sato,Japanese,0,+1 Lap,,BAR
2005,17,Brazilian Grand Prix,8,11,MAS,Felipe,Massa,Brazilian,0,+1 Lap,,Sauber
2005,17,Brazilian Grand Prix,20,12,VIL,Jacques,Villeneuve,Canadian,0,+1 Lap,,Sauber
2005,17,Brazilian Grand Prix,17,13,TRU,Jarno,Trulli,Italian,0,+2 Laps,,Toyota
2005,17,Brazilian Grand Prix,16,14,ALB,Christijan,Albers,Dutch,0,+2 Laps,,Minardi
2005,17,Brazilian Grand Prix,15,15,KAR,Narain,Karthikeyan,Indian,0,+3 Laps,,Jordan
2005,17,Brazilian Grand Prix,11,16,TMO,Tiago,Monteiro,Portuguese,0,Mechanical,,Jordan
2005,17,Brazilian Grand Prix,12,17,WEB,Mark,Webber,Australian,0,+26 Laps,,Williams
2005,17,Brazilian Grand Prix,18,18,DOO,Robert,Doornbos,Dutch,0,Engine,,Minardi
2005,17,Brazilian Grand Prix,13,19,PIZ,Antônio,Pizzonia,Brazilian,0,Accident,,Williams
2005,17,Brazilian Grand Prix,14,20,COU,David,Coulthard,British,0,Accident,,Red Bull
