Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2009,8,British Grand Prix,1,1,VET,Sebastian,Vettel,German,10,Finished,1:22:49.328,Red Bull
2009,8,British Grand Prix,3,2,WEB,Mark,Webber,Australian,8,Finished,+15.188,Red Bull
2009,8,British Grand Prix,2,3,BAR,Rubens,Barrichello,Brazilian,6,Finished,+41.175,Brawn
2009,8,British Grand Prix,11,4,MAS,Felipe,Massa,Brazilian,5,Finished,+45.043,Ferrari
2009,8,British Grand Prix,7,5,ROS,Nico,Rosberg,German,4,Finished,+45.915,Williams
2009,8,British Grand Prix,6,6,BUT,Jenson,Button,British,3,Finished,+46.285,Brawn
2009,8,British Grand Prix,4,7,TRU,Jarno,Trulli,Italian,2,Finished,+1:08.307,Toyota
2009,8,British Grand Prix,9,8,RAI,Kimi,Räikkönen,Finnish,1,Finished,+1:09.622,Ferrari
2009,8,British Grand Prix,8,9,GLO,Timo,Glock,German,0,Finished,+1:09.823,Toyota
2009,8,British Grand Prix,16,10,FIS,Giancarlo,Fisichella,Italian,0,Finished,+1:11.522,Force India
2009,8,British Grand Prix,5,11,NAK,Kazuki,Nakajima,Japanese,0,Finished,+1:14.023,Williams
2009,8,British Grand Prix,14,12,PIQ,Nelson,Piquet Jr.,Brazilian,0,+1 Lap,,Renault
2009,8,British Grand Prix,12,13,KUB,Robert,Kubica,Polish,0,+1 Lap,,BMW Sauber
2009,8,British Grand Prix,10,14,ALO,Fernando,Alonso,Spanish,0,+1 Lap,,Renault
2009,8,British Grand Prix,15,15,HEI,Nick,Heidfeld,German,0,+1 Lap,,BMW Sauber
2009,8,British Grand Prix,18,16,HAM,Lewis,Hamilton,British,0,+1 Lap,,McLaren
2009,8,British Grand Prix,20,17,SUT,Adrian,Sutil,German,0,+1 Lap,,Force India
2009,8,British Grand Prix,19,18,BUE,Sébastien,Buemi,Swiss,0,+1 Lap,,Toro Rosso
2009,8,British Grand Prix,17,19,BOU,Sébastien,Bourdais,French,0,Collision,,Toro Rosso
2009,8,British Grand Prix,13,20,KOV,Heikki,Kovalainen,Finnish,0,Collision,,McLaren
