Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2020,10,Russian Grand Prix,3,1,BOT,Valtteri,Bottas,Finnish,26,Finished,1:34:00.364,Mercedes
2020,10,Russian Grand Prix,2,2,VER,Max,Verstappen,Dutch,18,Finished,+7.729,Red Bull
2020,10,Russian Grand Prix,1,3,HAM,Lewis,Hamilton,British,15,Finished,+22.729,Mercedes
2020,10,Russian Grand Prix,4,4,PER,Sergio,Pérez,Mexican,12,Finished,+30.558,Racing Point
2020,10,Russian Grand Prix,5,5,RIC,Daniel,Ricciardo,Australian,10,Finished,+52.065,Renault
2020,10,Russian Grand Prix,10,6,LEC,Charles,Leclerc,Monegasque,8,Finished,+1:02.186,Ferrari
2020,10,Russian Grand Prix,7,7,OCO,Esteban,Ocon,French,6,Finished,+1:08.006,Renault
2020,10,Russian Grand Prix,11,8,KVY,Daniil,Kvyat,Russian,4,Finished,+1:08.740,AlphaTauri
2020,10,Russian Grand Prix,9,9,GAS,Pierre,Gasly,French,2,Finished,+1:29.766,AlphaTauri
2020,10,Russian Grand Prix,15,10,ALB,Alexander,Albon,Thai,1,Finished,+1:37.860,Red Bull
2020,10,Russian Grand Prix,17,11,GIO,Antonio,Giovinazzi,Italian,0,+1 Lap,,Alfa Romeo
2020,10,Russian Grand Prix,18,12,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Haas F1 Team
2020,10,Russian Grand Prix,14,13,VET,Sebastian,Vettel,German,0,+1 Lap,,Ferrari
2020,10,Russian Grand Prix,19,14,RAI,Kimi,Räikkönen,Finnish,0,+1 Lap,,Alfa Romeo
2020,10,Russian Grand Prix,8,15,NOR,Lando,Norris,British,0,+1 Lap,,McLaren
2020,10,Russian Grand Prix,20,16,LAT,Nicholas,Latifi,Canadian,0,+1 Lap,,Williams
2020,10,Russian Grand Prix,16,17,GRO,Romain,Grosjean,French,0,+1 Lap,,Haas F1 Team
2020,10,Russian Grand Prix,13,18,RUS,George,Russell,British,0,+1 Lap,,Williams
2020,10,Russian Grand Prix,6,19,SAI,Carlos,Sainz,Spanish,0,Accident,,McLaren
2020,10,Russian Grand Prix,12,20,STR,Lance,Stroll,Canadian,0,Collision,,Racing Point
