Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2022,13,Hungarian Grand Prix,10,1,VER,Max,Verstappen,Dutch,25,Finished,1:39:35.912,Red Bull
2022,13,Hungarian Grand Prix,7,2,HAM,Lewis,Hamilton,British,19,Finished,+7.834,Mercedes
2022,13,Hungarian Grand Prix,1,3,RUS,George,Russell,British,15,Finished,+12.337,Mercedes
2022,13,Hungarian Grand Prix,2,4,SAI,Carlos,Sainz,Spanish,12,Finished,+14.579,Ferrari
2022,13,Hungarian Grand Prix,11,5,PER,Sergio,Pérez,Mexican,10,Finished,+15.688,Red Bull
2022,13,Hungarian Grand Prix,3,6,LEC,Charles,Leclerc,Monegasque,8,Finished,+16.047,Ferrari
2022,13,Hungarian Grand Prix,4,7,NOR,Lando,Norris,British,6,Finished,+1:18.300,McLaren
2022,13,Hungarian Grand Prix,6,8,ALO,Fernando,Alonso,Spanish,4,+1 Lap,,Alpine F1 Team
2022,13,Hungarian Grand Prix,5,9,OCO,Esteban,Ocon,French,2,+1 Lap,,Alpine F1 Team
2022,13,Hungarian Grand Prix,18,10,VET,Sebastian,Vettel,German,1,+1 Lap,,Aston Martin
2022,13,Hungarian Grand Prix,14,11,STR,Lance,Stroll,Canadian,0,+1 Lap,,Aston Martin
2022,13,Hungarian Grand Prix,0,12,GAS,Pierre,Gasly,French,0,+1 Lap,,AlphaTauri
2022,13,Hungarian Grand Prix,12,13,ZHO,Guanyu,Zhou,Chinese,0,+1 Lap,,Alfa Romeo
2022,13,Hungarian Grand Prix,15,14,MSC,Mick,Schumacher,German,0,+1 Lap,,Haas F1 Team
2022,13,Hungarian Grand Prix,9,15,RIC,Daniel,Ricciardo,Australian,0,+1 Lap,,McLaren
2022,13,Hungarian Grand Prix,13,16,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Haas F1 Team
2022,13,Hungarian Grand Prix,17,17,ALB,Alexander,Albon,Thai,0,+1 Lap,,Williams
2022,13,Hungarian Grand Prix,19,18,LAT,Nicholas,Latifi,Canadian,0,+1 Lap,,Williams
2022,13,Hungarian Grand Prix,16,19,TSU,Yuki,Tsunoda,Japanese,0,+2 Laps,,AlphaTauri
2022,13,Hungarian Grand Prix,8,20,BOT,Valtteri,Bottas,Finnish,0,Power Unit,,Alfa Romeo
