Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2022,20,Mexico City Grand Prix,1,1,VER,Max,Verstappen,Dutch,25,Finished,1:38:36.729,Red Bull
2022,20,Mexico City Grand Prix,3,2,HAM,Lewis,Hamilton,British,18,Finished,+15.186,Mercedes
2022,20,Mexico City Grand Prix,4,3,PER,Sergio,Pérez,Mexican,15,Finished,+18.097,Red Bull
2022,20,Mexico City Grand Prix,2,4,RUS,George,Russell,British,13,Finished,+49.431,Mercedes
2022,20,Mexico City Grand Prix,5,5,SAI,Carlos,Sainz,Spanish,10,Finished,+58.123,Ferrari
2022,20,Mexico City Grand Prix,7,6,LEC,Charles,Leclerc,Monegasque,8,Finished,+1:08.774,Ferrari
2022,20,Mexico City Grand Prix,11,7,RIC,Daniel,Ricciardo,Australian,6,+1 Lap,,McLaren
2022,20,Mexico City Grand Prix,10,8,OCO,Esteban,Ocon,French,4,+1 Lap,,Alpine F1 Team
2022,20,Mexico City Grand Prix,8,9,NOR,Lando,Norris,British,2,+1 Lap,,McLaren
2022,20,Mexico City Grand Prix,6,10,BOT,Valtteri,Bottas,Finnish,1,+1 Lap,,Alfa Romeo
2022,20,Mexico City Grand Prix,14,11,GAS,Pierre,Gasly,French,0,+1 Lap,,AlphaTauri
2022,20,Mexico City Grand Prix,17,12,ALB,Alexander,Albon,Thai,0,+1 Lap,,Williams
2022,20,Mexico City Grand Prix,12,13,ZHO,Guanyu,Zhou,Chinese,0,+1 Lap,,Alfa Romeo
2022,20,Mexico City Grand Prix,16,14,VET,Sebastian,Vettel,German,0,+1 Lap,,Aston Martin
2022,20,Mexico City Grand Prix,20,15,STR,Lance,Stroll,Canadian,0,+1 Lap,,Aston Martin
2022,20,Mexico City Grand Prix,15,16,MSC,Mick,Schumacher,German,0,+1 Lap,,Haas F1 Team
2022,20,Mexico City Grand Prix,19,17,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Haas F1 Team
2022,20,Mexico City Grand Prix,18,18,LAT,Nicholas,Latifi,Canadian,0,+2 Laps,,Williams
2022,20,Mexico City Grand Prix,9,19,ALO,Fernando,Alonso,Spanish,0,Engine,,Alpine F1 Team
2022,20,Mexico City Grand Prix,13,20,TSU,Yuki,Tsunoda,Japanese,0,Collision damage,,AlphaTauri
